ICR_id,# Designs Passing,#LowScore Designs,Failed Designs,Total Submitted
ICR_834,11,4,8,23
ICR_835,0,6,0,6
ICR_836,10,2,0,12
ICR_837,5,6,0,11
ICR_838,39,13,7,59
ICR_839,9,2,0,11
ICR_840,10,0,0,10
ICR_841,2,38,0,40
ICR_842,0,17,2,19
ICR_843,21,6,0,27
ICR_844,3,4,2,9
ICR_845,6,0,0,6
ICR_846,4,5,0,9
ICR_847,19,5,0,24
ICR_848,0,10,0,10
ICR_849,11,4,0,15
ICR_850,9,0,0,9
ICR_851,7,1,4,12
ICR_852,6,1,0,7
ICR_853,16,5,0,21
ICR_854,9,8,2,19
ICR_855,1,6,0,7
ICR_856,6,3,0,9
ICR_857,4,5,0,9
ICR_858,2,4,0,6
ICR_859,6,0,0,6
ICR_860,11,0,0,11
ICR_861,5,1,0,6
ICR_862,17,0,0,17
ICR_863,7,0,0,7
ICR_864,5,4,0,9
ICR_865,12,1,0,13
ICR_866,10,0,0,10
ICR_867,8,2,0,10
ICR_868,8,1,0,9
ICR_869,9,1,0,10
ICR_870,9,4,0,13
ICR_871,9,0,0,9
ICR_872,14,8,0,22
ICR_873,170,34,0,204
ICR_874,8,5,0,13
ICR_875,10,8,0,18
ICR_876,1,7,0,8
ICR_877,9,3,0,12
ICR_878,13,0,0,13
ICR_879,8,3,1,12
ICR_880,6,1,0,7
ICR_881,6,1,0,7
ICR_882,3,0,2,5
ICR_883,0,13,0,13
ICR_884,7,0,0,7
ICR_885,0,5,1,6
ICR_886,19,7,0,26
ICR_887,34,15,0,49
ICR_888,4,0,0,4
ICR_889,6,0,0,6
ICR_890,8,0,0,8
ICR_891,6,0,0,6
ICR_892,8,0,0,8
ICR_893,72,42,0,114
ICR_894,17,8,0,25
ICR_895,9,0,0,9
ICR_896,1,6,0,7
ICR_897,8,0,0,8
ICR_898,13,2,0,15
ICR_899,4,0,0,4
ICR_900,6,0,0,6
ICR_901,16,0,0,16
ICR_902,14,1,0,15
ICR_903,10,17,0,27
ICR_904,4,6,0,10
ICR_905,9,2,0,11
ICR_906,12,0,0,12
ICR_907,11,5,0,16
ICR_908,20,6,0,26
ICR_909,8,1,0,9
ICR_910,5,1,0,6
ICR_911,9,2,0,11
ICR_912,9,0,0,9
ICR_913,46,4,0,50
ICR_914,10,0,0,10
ICR_915,0,6,0,6
ICR_916,8,54,0,62
ICR_917,4,1,0,5
ICR_918,8,4,0,12
ICR_919,8,0,0,8
ICR_920,36,26,0,62
ICR_921,17,2,0,19
ICR_922,9,2,0,11
ICR_923,10,18,0,28
ICR_924,7,3,0,10
ICR_925,6,14,0,20
ICR_926,11,2,0,13
ICR_927,42,11,0,53
ICR_928,7,0,0,7
ICR_929,7,2,0,9
ICR_930,3,7,0,10
ICR_931,12,0,0,12
ICR_932,0,9,8,17
ICR_933,5,0,0,5
ICR_934,14,9,0,23
ICR_935,4,4,0,8
ICR_936,2,0,2,4
ICR_937,10,1,5,16
ICR_938,0,0,17,17
ICR_939,0,0,10,10
ICR_940,0,0,13,13
ICR_941,2,0,8,10
ICR_942,4,8,0,12
ICR_943,6,1,1,8
ICR_944,0,9,0,9
ICR_945,6,0,0,6
ICR_946,0,0,4,4
ICR_947,4,3,0,7
ICR_948,7,0,0,7
ICR_949,5,0,0,5
ICR_950,2,4,0,6
ICR_951,4,0,0,4
ICR_952,4,0,1,5
ICR_953,0,7,8,15
ICR_954,8,2,0,10
ICR_955,7,0,0,7
ICR_956,7,0,0,7
ICR_957,6,0,1,7
ICR_958,8,0,1,9
ICR_959,3,3,0,6
ICR_960,7,1,0,8
ICR_961,4,0,0,4
ICR_962,13,0,0,13
ICR_963,21,0,0,21
ICR_964,9,0,0,9
ICR_965,9,0,0,9
ICR_966,12,1,0,13
ICR_967,31,10,0,41
ICR_968,1,4,0,5
ICR_969,7,0,0,7
ICR_970,6,0,0,6
ICR_971,7,0,0,7
ICR_972,8,0,0,8
ICR_973,10,2,0,12
ICR_974,11,1,0,12
ICR_975,12,3,0,15
ICR_976,9,0,1,10
ICR_977,8,0,3,11
ICR_978,11,0,0,11
ICR_979,9,0,0,9
ICR_980,6,5,0,11
ICR_981,6,1,0,7
ICR_982,4,2,0,6
ICR_983,16,0,0,16
ICR_984,6,9,0,15
ICR_985,7,0,0,7
ICR_986,4,3,0,7
